time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
1.14,-3897.5,1568.23,-9.01464,-31.4438,-7.71299,110.258,27.2322,-11.6859,7.00026,-10.1603,0.639638
1.15,-3897.6,1568.48,-8.97811,-31.5416,-7.70559,110.133,27.2369,-11.2186,7.15625,-10.1123,0.633274
1.16,-3897.69,1568.74,-8.9416,-31.6347,-7.69682,110.009,27.2415,-10.7624,7.30799,-10.0645,0.626972
1.17,-3897.78,1568.99,-8.90514,-31.7233,-7.68673,109.883,27.246,-10.3173,7.4555,-10.0169,0.620734
1.18,-3897.87,1569.25,-8.86872,-31.8075,-7.67534,109.757,27.2504,-9.88337,7.59881,-9.96953,0.614557
1.19,-3897.96,1569.5,-8.83235,-31.8874,-7.66268,109.631,27.2548,-9.46053,7.73794,-9.92253,0.608443
1.2,-3898.05,1569.75,-8.79604,-31.9631,-7.64878,109.505,27.2591,-9.04875,7.87292,-9.87592,0.602388
1.21,-3898.14,1570.01,-8.75979,-32.0347,-7.63367,109.378,27.2632,-8.64799,8.00378,-9.82974,0.596395
1.22,-3898.23,1570.26,-8.72361,-32.1024,-7.61738,109.251,27.2673,-8.25821,8.13055,-9.78405,0.59046
1.23,-3898.32,1570.52,-8.6875,-32.1662,-7.59993,109.124,27.2713,-7.87932,8.25327,-9.73889,0.584585
1.24,-3898.41,1570.77,-8.65147,-32.2263,-7.58136,108.996,27.2752,-7.51126,8.37197,-9.69431,0.578768
1.25,-3898.5,1571.03,-8.61553,-32.2828,-7.56169,108.868,27.279,-7.15394,8.48669,-9.65036,0.57301
1.26,-3898.59,1571.29,-8.57968,-32.3357,-7.54096,108.74,27.2827,-6.80725,8.59746,-9.60707,0.567308
1.27,-3898.67,1571.54,-8.54393,-32.3853,-7.51919,108.612,27.2863,-6.4711,8.70434,-9.56449,0.561663
1.28,-3898.76,1571.8,-8.50827,-32.4316,-7.49642,108.483,27.2898,-6.14536,8.80735,-9.52265,0.556075
1.29,-3898.84,1572.06,-8.47272,-32.4747,-7.47267,108.354,27.2933,-5.82993,8.90655,-9.48158,0.550542
1.3,-3898.93,1572.31,-8.43728,-32.5147,-7.44797,108.225,27.2966,-5.52466,9.00198,-9.44132,0.545064
1.31,-3899.01,1572.57,-8.40195,-32.5517,-7.42236,108.096,27.2998,-5.22943,9.09369,-9.40191,0.53964
1.32,-3899.1,1572.83,-8.36675,-32.5859,-7.39586,107.967,27.3029,-4.9441,9.18172,-9.36336,0.534271
1.33,-3899.18,1573.09,-8.33167,-32.6173,-7.3685,107.837,27.3059,-4.66851,9.26612,-9.3257,0.528955
1.34,-3899.26,1573.34,-8.29671,-32.6461,-7.34031,107.708,27.3088,-4.40252,9.34694,-9.28896,0.523691
1.35,-3899.35,1573.6,-8.26189,-32.6723,-7.31133,107.578,27.3116,-4.14596,9.42424,-9.25317,0.518481
1.36,-3899.43,1573.86,-8.2272,-32.696,-7.28157,107.448,27.3143,-3.89869,9.49806,-9.21833,0.513322
1.37,-3899.51,1574.12,-8.19265,-32.7174,-7.25107,107.318,27.3169,-3.66053,9.56845,-9.18448,0.508214
1.38,-3899.59,1574.38,-8.15824,-32.7364,-7.21986,107.188,27.3194,-3.43132,9.63547,-9.15162,0.503157
1.39,-3899.67,1574.64,-8.12398,-32.7533,-7.18796,107.058,27.3218,-3.21089,9.69918,-9.11978,0.498151
1.4,-3899.75,1574.9,-8.08987,-32.7681,-7.15541,106.928,27.324,-2.99907,9.75962,-9.08897,0.493194
1.41,-3899.83,1575.15,-8.05591,-32.7809,-7.12223,106.797,27.3262,-2.79567,9.81685,-9.05919,0.488287
1.42,-3899.9,1575.41,-8.02211,-32.7917,-7.08845,106.667,27.3283,-2.60053,9.87092,-9.03047,0.483428
1.43,-3899.98,1575.67,-7.98847,-32.8008,-7.0541,106.537,27.3302,-2.41346,9.9219,-9.0028,0.478618
1.44,-3900.06,1575.93,-7.95498,-32.808,-7.0192,106.406,27.3321,-2.23428,9.96983,-8.9762,0.473856
1.45,-3900.13,1576.19,-7.92167,-32.8136,-6.98379,106.276,27.3338,-2.06282,10.0148,-8.95066,0.469141
1.46,-3900.21,1576.46,-7.88851,-32.8176,-6.94789,106.145,27.3354,-1.89889,10.0568,-8.92621,0.464473
1.47,-3900.29,1576.72,-7.85553,-32.82,-6.91152,106.015,27.3369,-1.74231,10.0959,-8.90283,0.459851
1.48,-3900.36,1576.98,-7.82272,-32.8211,-6.87472,105.884,27.3383,-1.5929,10.1323,-8.88053,0.455275
1.49,-3900.43,1577.24,-7.79009,-32.8207,-6.83751,105.754,27.3396,-1.45047,10.1658,-8.85931,0.450745
1.5,-3900.51,1577.5,-7.75763,-32.819,-6.79991,105.623,27.3408,-1.31485,10.1967,-8.83916,0.44626
1.51,-3900.58,1577.76,-7.72534,-32.8161,-6.76195,105.493,27.3419,-1.18585,10.2249,-8.8201,0.44182
1.52,-3900.65,1578.02,-7.69324,-32.8121,-6.72366,105.362,27.3428,-1.06329,10.2505,-8.8021,0.437424
1.53,-3900.72,1578.28,-7.66132,-32.8069,-6.68506,105.232,27.3437,-0.946995,10.2736,-8.78518,0.433071
1.54,-3900.8,1578.55,-7.62958,-32.8007,-6.64617,105.102,27.3444,-0.836784,10.2943,-8.76931,0.428762
1.55,-3900.87,1578.81,-7.59802,-32.7935,-6.60702,104.971,27.3451,-0.73248,10.3125,-8.7545,0.424496
1.56,-3900.94,1579.07,-7.56665,-32.7853,-6.56763,104.841,27.3456,-0.633908,10.3284,-8.74075,0.420272
1.57,-3901,1579.33,-7.53547,-32.7764,-6.52803,104.711,27.346,-0.540893,10.3419,-8.72803,0.41609
1.58,-3901.07,1579.6,-7.50447,-32.7666,-6.48823,104.581,27.3463,-0.453264,10.3533,-8.71634,0.41195
1.59,-3901.14,1579.86,-7.47367,-32.756,-6.44827,104.45,27.3465,-0.37085,10.3624,-8.70567,0.407851
1.6,-3901.21,1580.12,-7.44305,-32.7448,-6.40816,104.32,27.3466,-0.293483,10.3694,-8.69601,0.403793
1.61,-3901.28,1580.39,-7.41262,-32.7329,-6.36792,104.19,27.3466,-0.220997,10.3744,-8.68735,0.399775
